HTTrack3.49-2+htsswf+htsjava launched on Fri, 08 Jul 2022 11:44:03 at http://103.139.171.5:5001/livetv.php +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qYC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -Y http://103.139.171.5:5001/livetv.php -O1 "C:\My Web Sites\new" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:08:45	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Home_Learning_Gujarat1&q=800&e=junk.m3u8
12:09:19	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Kappa_TV&q=800&e=junk.m3u8
12:09:28	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Sakhi_TV&q=800&e=junk.m3u8
12:09:34	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Asianet&q=800&e=junk.m3u8
12:09:50	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=TWENTY_FOUR_NEWS&q=800&e=junk.m3u8
12:10:54	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Daijiworld_TV_24X7&q=800&e=junk.m3u8
12:12:09	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Bangla_Time&q=800&e=junk.m3u8
12:12:14	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Sadhna_Aryan_News&q=800&e=junk.m3u8
12:12:28	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Tripura_News&q=800&e=junk.m3u8
12:13:17	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Dnyanganga_9_Marathi_Medium&q=800&e=junk.m3u8
12:14:30	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Surya_Bhojpuri&q=800&e=junk.m3u8
12:14:43	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): 103.139.171.5:5001/live.php?c=Dnyanganga_9_Urdhu_Medium&q=800&e=junk.m3u8
12:36:45	Error: 	"Not Found" (404) at link 103.139.171.5:5001/EXTM3U url-tvg="http://kodi.botallen.com/tv/epg.xml" (from 103.139.171.5:5001/playlist.m3u)
12:36:46	Warning: 	Retry after error -2 (Receive Time Out) at link 103.139.171.5:5001/live.php?c=PTC_DHOL_TV&q=800&e=junk.m3u8 (from 103.139.171.5:5001/playlist.m3u)
12:37:43	Error: 	"Not Found" (404) at link 103.139.171.5:5001/assets/js/hide-banner.js (from 103.139.171.5:5001/play.php?c=Colors_HD)
12:37:43	Warning: 	Retry after error -4 (No data (connection closed)) at link jiotv.catchup.cdn.jio.com/dare_images/images/Jio_Events.png (from 103.139.171.5:5001/play.php?c=Jio_Events)
12:37:44	Warning: 	Retry after error -4 (No data (connection closed)) at link jiotv.catchup.cdn.jio.com/dare_images/images/MNPLUS.png (from 103.139.171.5:5001/play.php?c=MNPLUS)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems04.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sahara_Samay_Mumbai.png (from 103.139.171.5:5001/play.php?c=Sahara_Samay_Mumbai)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Neo_Sports.png (from 103.139.171.5:5001/play.php?c=Neo_Sports)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Neo_Prime.png (from 103.139.171.5:5001/play.php?c=Neo_Prime)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sony_ESPN_SD.png (from 103.139.171.5:5001/play.php?c=Sony_ESPN_SD)
12:37:45	Error: 	"Unknown error" (451) at link sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sony_Rox_HD.png (from 103.139.171.5:5001/play.php?c=Sony_Rox_HD)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems09.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/AXN_HD.png (from 103.139.171.5:5001/play.php?c=AXN_HD)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems09.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Jaya_Jaya_Shankara_TV.png (from 103.139.171.5:5001/play.php?c=Jaya_Jaya_Shankara_TV)
12:37:45	Error: 	"Unknown error" (451) at link sagracdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/ID.png (from 103.139.171.5:5001/play.php?c=ID)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_23.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_23)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_24.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_24)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems04.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_29.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_29)
12:37:45	Error: 	"Unknown error" (451) at link sagracdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_25.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_25)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_26.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_26)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_27.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_27)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems07.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_28.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_28)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_30.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_30)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems06.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_31.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_31)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_32.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_32)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Winter_Olympic_Ch1.png (from 103.139.171.5:5001/play.php?c=Winter_Olympic_Ch1)
12:37:45	Error: 	"Unknown error" (451) at link sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Housefull_Action.png (from 103.139.171.5:5001/play.php?c=Housefull_Action)
12:37:45	Error: 	"Unknown error" (451) at link sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/National_Voice.png (from 103.139.171.5:5001/play.php?c=National_Voice)
12:37:45	Warning: 	Retry after error -4 (No data (connection closed)) at link jiotv.catchup.cdn.jio.com/dare_images/images/Sony_BBC_Earth_HD_Tamil.png (from 103.139.171.5:5001/play.php?c=Sony_BBC_Earth_HD_Tamil)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Movies_Now2_HD.png (from 103.139.171.5:5001/play.php?c=Movies_Now2_HD)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems04.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Janataa_TV.png (from 103.139.171.5:5001/play.php?c=Janataa_TV)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems06.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Music_Fatafati.png (from 103.139.171.5:5001/play.php?c=Music_Fatafati)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Garv.png (from 103.139.171.5:5001/play.php?c=Garv)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems04.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/KTV_HD.png (from 103.139.171.5:5001/play.php?c=KTV_HD)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems07.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sun_Music_HD.png (from 103.139.171.5:5001/play.php?c=Sun_Music_HD)
12:37:46	Warning: 	Retry after error -4 (No data (connection closed)) at link jiotv.catchup.cdn.jio.com/dare_images/images/Sun_TV_HD.png (from 103.139.171.5:5001/play.php?c=Sun_TV_HD)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems08.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_TV_HD.png (from 103.139.171.5:5001/play.php?c=Gemini_TV_HD)
