date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:27	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Fri,%2008%20Jul%202022%2007:03:28%20GMT	http://sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/K1_TV.png	C:/My%20Web%20Sites/new/sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/K1_TV.ae9.delayed	(from http://103.139.171.5:5001/play.php?c=K1_TV)
12:33:27	666/666	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:28%20GMT	http://103.139.171.5:5001/autoq.php?c=K1_TV	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq30b2.php	(from http://103.139.171.5:5001/play.php?c=K1_TV)
12:33:28	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:29%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Movies.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Movies.aeb.delayed	(from http://103.139.171.5:5001/play.php?c=Gemini_Movies)
12:33:28	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Fri,%2008%20Jul%202022%2007:03:29%20GMT	http://sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Movies.png	C:/My%20Web%20Sites/new/sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Movies.aec.delayed	(from http://103.139.171.5:5001/play.php?c=Gemini_Movies)
12:33:29	706/706	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:30%20GMT	http://103.139.171.5:5001/autoq.php?c=Gemini_Movies	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq6c0f.php	(from http://103.139.171.5:5001/play.php?c=Gemini_Movies)
12:33:29	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:30%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Sun_Life.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Sun_Life.aee.delayed	(from http://103.139.171.5:5001/play.php?c=Sun_Life)
12:33:30	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Fri,%2008%20Jul%202022%2007:03:31%20GMT	http://sagraecdnems04.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sun_Life.png	C:/My%20Web%20Sites/new/sagraecdnems04.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Sun_Life.aef.delayed	(from http://103.139.171.5:5001/play.php?c=Sun_Life)
12:33:30	681/681	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:31%20GMT	http://103.139.171.5:5001/autoq.php?c=Sun_Life	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoqa7f8.php	(from http://103.139.171.5:5001/play.php?c=Sun_Life)
12:33:31	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:32%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Raj_Digital_Plus.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Raj_Digital_Plus.png	(from http://103.139.171.5:5001/play.php?c=Raj_Digital_Plus)
12:33:31	721/721	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:32%20GMT	http://103.139.171.5:5001/autoq.php?c=Raj_Digital_Plus	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq1cdc.php	(from http://103.139.171.5:5001/play.php?c=Raj_Digital_Plus)
12:33:32	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:33%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Life.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Life.png	(from http://103.139.171.5:5001/play.php?c=Gemini_Life)
12:33:32	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Fri,%2008%20Jul%202022%2007:03:33%20GMT	http://sagracdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Life.png	C:/My%20Web%20Sites/new/sagracdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Life.af5.delayed	(from http://103.139.171.5:5001/play.php?c=Gemini_Life)
12:33:33	696/696	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:34%20GMT	http://103.139.171.5:5001/autoq.php?c=Gemini_Life	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq2a50.php	(from http://103.139.171.5:5001/play.php?c=Gemini_Life)
12:33:33	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:34%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Bangla_Cinema.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Bangla_Cinema.af7.delayed	(from http://103.139.171.5:5001/play.php?c=Zee_Bangla_Cinema)
12:33:34	85259/85259	---M--	200	added ('OK')	text/plain	etag:%225dc53c86-14d0b%22	http://sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Raj_Digital_Plus.png	C:/My%20Web%20Sites/new/sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Raj_Digital_Plus.png	(from http://103.139.171.5:5001/play.php?c=Raj_Digital_Plus)
12:33:35	726/726	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:35%20GMT	http://103.139.171.5:5001/autoq.php?c=Zee_Bangla_Cinema	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoq9844.php	(from http://103.139.171.5:5001/play.php?c=Zee_Bangla_Cinema)
12:33:35	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:36%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Alankar_TV.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Alankar_TV.png	(from http://103.139.171.5:5001/play.php?c=Alankar_TV)
12:33:35	21234/21234	---M--	200	added ('OK')	text/plain	etag:%225dc53c84-52f2%22	http://sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Bangla_Cinema.png	C:/My%20Web%20Sites/new/sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Bangla_Cinema.png	(from http://103.139.171.5:5001/play.php?c=Zee_Bangla_Cinema)
12:33:35	0/0	---M--	451	error ('Unknown%20error')	text/html	date:Fri,%2008%20Jul%202022%2007:03:36%20GMT	http://sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Alankar_TV.png	C:/My%20Web%20Sites/new/sagracdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Alankar_TV.afb.delayed	(from http://103.139.171.5:5001/play.php?c=Alankar_TV)
12:33:36	691/691	---M--	200	added ('OK')	application/vnd.apple.mpegurl	date:Fri,%2008%20Jul%202022%2007:03:37%20GMT	http://103.139.171.5:5001/autoq.php?c=Alankar_TV	C:/My%20Web%20Sites/new/103.139.171.5_5001/autoqd2b7.php	(from http://103.139.171.5:5001/play.php?c=Alankar_TV)
12:33:36	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2007:03:37%20GMT	http://jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Marathi.png	C:/My%20Web%20Sites/new/jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Marathi.png	(from http://103.139.171.5:5001/play.php?c=Zee_Marathi)
12:33:37	22425/22425	---M--	200	added ('OK')	text/plain	etag:%225dc53c86-5799%22	http://sagraecdnems06.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Marathi.png	C:/My%20Web%20Sites/new/sagraecdnems06.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Zee_Marathi.png	(from http://103.139.171.5:5001/play.php?c=Zee_Marathi)
